ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2016,Upper secondary,25-54,female,0.05695,0.4115999999999999
CIV,2017,Upper secondary,25-54,female,0.0657333333333333,0.35985
CIV,2018,Upper secondary,25-54,female,0.0745166666666666,0.3081
CIV,2019,Upper secondary,25-54,female,0.0833,0.25635
CIV,2020,Upper secondary,25-54,female,0.0768833333333333,0.27185
CIV,2021,Upper secondary,25-54,female,0.0704666666666666,0.28735
CIV,2022,Upper secondary,25-54,female,0.06405,0.30285
CIV,2023,Upper secondary,25-54,female,0.06405,0.30285
CIV,2024,Upper secondary,25-54,female,0.06405,0.30285
CIV,2025,Upper secondary,25-54,female,0.06405,0.30285
CIV,2015,Upper secondary,25-54,male,0.0406033333333333,0.1680466666666666
CIV,2016,Upper secondary,25-54,male,0.02258,0.1933399999999999
CIV,2017,Upper secondary,25-54,male,0.0267266666666666,0.1949166666666666
CIV,2018,Upper secondary,25-54,male,0.0308733333333333,0.1964933333333333
CIV,2019,Upper secondary,25-54,male,0.0350199999999999,0.19807
CIV,2020,Upper secondary,25-54,male,0.0390866666666666,0.16933
CIV,2021,Upper secondary,25-54,male,0.0431533333333333,0.14059
CIV,2022,Upper secondary,25-54,male,0.04722,0.11185
CIV,2023,Upper secondary,25-54,male,0.04722,0.11185
CIV,2024,Upper secondary,25-54,male,0.04722,0.11185
CIV,2025,Upper secondary,25-54,male,0.04722,0.11185
CIV,2015,Upper secondary,55-64,female,0.0501299999999999,0.635027
CIV,2016,Upper secondary,55-64,female,0.0501299999999999,0.654836
CIV,2017,Upper secondary,55-64,female,0.0501299999999999,0.6746449999999999
CIV,2018,Upper secondary,55-64,female,0.0501299999999999,0.694454
CIV,2019,Upper secondary,55-64,female,0.0501299999999999,0.714263
CIV,2020,Upper secondary,55-64,female,0.0501299999999999,0.734072
CIV,2021,Upper secondary,55-64,female,0.049475,0.753881
CIV,2022,Upper secondary,55-64,female,0.045595,0.77369
CIV,2023,Upper secondary,55-64,female,0.045595,0.77369
CIV,2024,Upper secondary,55-64,female,0.045595,0.77369
CIV,2025,Upper secondary,55-64,female,0.045595,0.77369
CIV,2015,Upper secondary,55-64,male,0.04842,0.2648333333333333
CIV,2016,Upper secondary,55-64,male,0.047705,0.17247
CIV,2017,Upper secondary,55-64,male,0.04699,0.2821266666666667
CIV,2018,Upper secondary,55-64,male,0.046275,0.3917833333333333
CIV,2019,Upper secondary,55-64,male,0.04556,0.50144
CIV,2020,Upper secondary,55-64,male,0.043005,0.4069
CIV,2021,Upper secondary,55-64,male,0.04119,0.31236
CIV,2022,Upper secondary,55-64,male,0.04119,0.21782
CIV,2023,Upper secondary,55-64,male,0.03754,0.21782
CIV,2024,Upper secondary,55-64,male,0.04119,0.21782
CIV,2025,Upper secondary,55-64,male,0.04119,0.21782
